               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.034687,            0.018102,          0.00086756,             0.72688,             0.53805,             0.61554,             0.42759,            0.028056,            0.010604,          0.00076335,             0.00505,             0.00505,             0.00505
                  52,            0.034341,            0.017902,          0.00079659,             0.74686,             0.58568,             0.63302,             0.45879,            0.028483,            0.010509,          0.00073163,            0.004951,            0.004951,            0.004951
                  53,            0.034198,             0.01819,          0.00084453,             0.88331,             0.60998,             0.67088,             0.48894,            0.028639,            0.010516,          0.00063667,            0.004852,            0.004852,            0.004852
                  54,            0.033593,            0.018405,           0.0010349,             0.91719,              0.5471,             0.62872,             0.44191,            0.028837,            0.010423,          0.00075528,            0.004753,            0.004753,            0.004753
                  55,            0.033834,            0.018043,          0.00087678,             0.75636,             0.53601,             0.63584,               0.453,            0.027466,            0.010358,           0.0007716,            0.004654,            0.004654,            0.004654
                  56,            0.033267,            0.017913,          0.00077175,             0.80035,             0.50041,             0.60195,             0.43018,             0.02819,            0.010441,          0.00078073,            0.004555,            0.004555,            0.004555
                  57,            0.032985,            0.017531,           0.0008831,             0.92325,             0.59511,             0.66108,               0.498,            0.028205,            0.010542,          0.00067502,            0.004456,            0.004456,            0.004456
                  58,            0.032743,            0.017621,          0.00075593,             0.83733,             0.59325,             0.65302,             0.47347,            0.028136,            0.010535,          0.00069739,            0.004357,            0.004357,            0.004357
                  59,            0.032831,            0.018027,          0.00078075,             0.79508,             0.59957,             0.66285,             0.48869,            0.027608,            0.010444,          0.00074504,            0.004258,            0.004258,            0.004258
                  60,            0.033228,            0.017886,          0.00071416,             0.93863,             0.58847,             0.66313,             0.48406,            0.027381,            0.010445,          0.00074191,            0.004159,            0.004159,            0.004159
                  61,              0.0335,            0.018489,          0.00076931,             0.71805,             0.59288,              0.6529,             0.48177,            0.027976,            0.010381,          0.00079615,             0.00406,             0.00406,             0.00406
                  62,             0.03311,            0.017721,          0.00090041,             0.90544,             0.53723,             0.63336,             0.48186,            0.027679,             0.01034,          0.00076683,            0.003961,            0.003961,            0.003961
                  63,            0.032894,              0.0174,          0.00069946,              0.7893,             0.51166,             0.62286,             0.45711,            0.028174,            0.010275,           0.0008894,            0.003862,            0.003862,            0.003862
                  64,            0.033162,            0.017971,          0.00069556,             0.90818,             0.51433,             0.64558,             0.47209,            0.027735,            0.010412,          0.00069424,            0.003763,            0.003763,            0.003763
                  65,            0.033014,            0.017637,          0.00094184,             0.66389,             0.60352,              0.6493,             0.48699,            0.027566,            0.010318,          0.00079053,            0.003664,            0.003664,            0.003664
                  66,            0.033174,            0.018082,          0.00062862,             0.68893,             0.61477,             0.64268,             0.48387,            0.027613,            0.010422,          0.00075214,            0.003565,            0.003565,            0.003565
                  67,            0.032263,            0.017452,          0.00085637,             0.84935,             0.59017,             0.66234,             0.49364,            0.027675,            0.010267,          0.00066842,            0.003466,            0.003466,            0.003466
                  68,             0.03304,            0.017528,           0.0010238,             0.86503,             0.57754,             0.64885,             0.48956,            0.027651,             0.01035,          0.00077827,            0.003367,            0.003367,            0.003367
                  69,            0.032227,            0.017142,          0.00092058,             0.93527,              0.5193,             0.64024,             0.47996,            0.027526,            0.010284,           0.0008155,            0.003268,            0.003268,            0.003268
                  70,            0.031687,            0.017075,          0.00068801,             0.70419,             0.61934,             0.63195,             0.48767,            0.027676,            0.010261,          0.00071532,            0.003169,            0.003169,            0.003169
                  71,            0.031232,            0.016627,          0.00070193,             0.82079,             0.56465,             0.64858,             0.49719,            0.027222,             0.01033,          0.00074948,             0.00307,             0.00307,             0.00307
                  72,            0.031773,            0.017483,          0.00053489,             0.86453,             0.57782,             0.66208,             0.49562,            0.027206,             0.01032,          0.00075462,            0.002971,            0.002971,            0.002971
                  73,             0.03189,             0.01714,            0.000525,             0.94039,             0.58809,             0.67487,             0.50265,            0.027512,              0.0103,          0.00074319,            0.002872,            0.002872,            0.002872
                  74,            0.031801,            0.017383,          0.00070739,             0.85971,             0.59393,             0.65957,             0.51021,            0.027447,             0.01045,          0.00083666,            0.002773,            0.002773,            0.002773
                  75,            0.031823,            0.017253,          0.00050568,             0.74064,             0.60506,              0.6513,             0.49315,            0.027596,            0.010512,          0.00086027,            0.002674,            0.002674,            0.002674
                  76,            0.031503,            0.016832,          0.00058613,             0.81621,             0.59186,             0.65858,             0.49412,            0.027045,              0.0104,          0.00090067,            0.002575,            0.002575,            0.002575
                  77,            0.031394,            0.017104,          0.00050873,             0.78916,             0.59452,             0.65078,             0.49872,             0.02799,            0.010254,          0.00089669,            0.002476,            0.002476,            0.002476
                  78,            0.031427,            0.017211,          0.00067622,              0.8434,             0.55073,             0.62392,             0.47052,            0.027798,            0.010303,          0.00091935,            0.002377,            0.002377,            0.002377
                  79,            0.030721,            0.016807,          0.00060032,             0.90641,             0.59881,             0.65763,             0.51132,            0.027514,            0.010368,          0.00092615,            0.002278,            0.002278,            0.002278
                  80,            0.030984,            0.016672,          0.00060608,             0.77554,             0.60761,             0.64643,             0.50524,            0.027771,            0.010403,          0.00090411,            0.002179,            0.002179,            0.002179
                  81,            0.030978,            0.017149,          0.00054912,             0.79864,             0.53764,             0.62504,             0.47999,            0.027605,            0.010306,          0.00085508,             0.00208,             0.00208,             0.00208
                  82,            0.031319,            0.017007,          0.00062376,             0.75121,             0.57304,             0.63206,             0.48271,            0.027411,            0.010185,          0.00089595,            0.001981,            0.001981,            0.001981
                  83,            0.030784,            0.016935,          0.00053366,             0.83222,             0.52803,             0.63571,             0.48501,            0.027226,            0.010153,          0.00082545,            0.001882,            0.001882,            0.001882
